token_price_date,wow_token_price_in_gold,price_change
2024-09-19 00:00:00+00:00,187686,
2024-09-20 00:00:00+00:00,194892,7206.0
2024-09-21 00:00:00+00:00,190683,-4209.0
2024-09-22 00:00:00+00:00,188308,-2375.0
2024-09-23 00:00:00+00:00,200161,11853.0
2024-09-24 00:00:00+00:00,208324,8163.0
2024-09-25 00:00:00+00:00,251286,42962.0
2024-09-26 00:00:00+00:00,223641,-27645.0
2024-09-27 00:00:00+00:00,194812,-28829.0
2024-09-28 00:00:00+00:00,193808,-1004.0
2024-09-29 00:00:00+00:00,190585,-3223.0
2024-09-30 00:00:00+00:00,193375,2790.0
2024-10-01 00:00:00+00:00,197347,3972.0
2024-10-02 00:00:00+00:00,193000,-4347.0
2024-10-03 00:00:00+00:00,194607,1607.0
2024-10-04 00:00:00+00:00,195913,1306.0
2024-10-05 00:00:00+00:00,194169,-1744.0
2024-10-06 00:00:00+00:00,195789,1620.0
2024-10-07 00:00:00+00:00,194265,-1524.0
2024-10-08 00:00:00+00:00,201017,6752.0
2024-10-09 00:00:00+00:00,199949,-1068.0
2024-10-10 00:00:00+00:00,195061,-4888.0
2024-10-11 00:00:00+00:00,192356,-2705.0
2024-10-12 00:00:00+00:00,190966,-1390.0
2024-10-13 00:00:00+00:00,190854,-112.0
2024-10-14 00:00:00+00:00,194735,3881.0
2024-10-15 00:00:00+00:00,194434,-301.0
2024-10-16 00:00:00+00:00,193718,-716.0
2024-10-17 00:00:00+00:00,189646,-4072.0
2024-10-18 00:00:00+00:00,193031,3385.0
